,Exact classifier,classifier,parameters,dataset,baseline,precision_at_0.01,precision_at_0.02,precision_at_0.05,precision_at_0.1,precision_at_0.2,precision_at_0.3,precision_at_0.5,recall_at_0.01,recall_at_0.02,recall_at_0.05,recall_at_0.1,recall_at_0.2,recall_at_0.3,recall_at_0.5,AUC ROC
0,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False, max_features=0.2,
         max_samples=0.3333333333333333, n_estimators=10, n_jobs=10,
         oob_score=False, random_state=None, verbose=0, warm_start=False)",Bagging,"{'n_estimators': 10, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.3333333333333333, 'max_features': 0.2, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6486192019307253
1,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False, max_features=0.2,
         max_samples=0.3333333333333333, n_estimators=100, n_jobs=10,
         oob_score=False, random_state=None, verbose=0, warm_start=False)",Bagging,"{'n_estimators': 100, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.3333333333333333, 'max_features': 0.2, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6519067682911122
2,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False, max_features=0.2,
         max_samples=0.5, n_estimators=10, n_jobs=10, oob_score=False,
         random_state=None, verbose=0, warm_start=False)",Bagging,"{'n_estimators': 10, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.5, 'max_features': 0.2, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6526708079867424
3,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False, max_features=0.2,
         max_samples=0.5, n_estimators=100, n_jobs=10, oob_score=False,
         random_state=None, verbose=0, warm_start=False)",Bagging,"{'n_estimators': 100, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.5, 'max_features': 0.2, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6567203820547307
4,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False,
         max_features=0.3333333333333333, max_samples=0.3333333333333333,
         n_estimators=10, n_jobs=10, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",Bagging,"{'n_estimators': 10, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.3333333333333333, 'max_features': 0.3333333333333333, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6528664642842367
5,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False,
         max_features=0.3333333333333333, max_samples=0.3333333333333333,
         n_estimators=100, n_jobs=10, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",Bagging,"{'n_estimators': 100, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.3333333333333333, 'max_features': 0.3333333333333333, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6527032832047822
6,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False,
         max_features=0.3333333333333333, max_samples=0.5, n_estimators=10,
         n_jobs=10, oob_score=False, random_state=None, verbose=0,
         warm_start=False)",Bagging,"{'n_estimators': 10, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.5, 'max_features': 0.3333333333333333, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6476100234920259
7,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False,
         max_features=0.3333333333333333, max_samples=0.5,
         n_estimators=100, n_jobs=10, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",Bagging,"{'n_estimators': 100, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.5, 'max_features': 0.3333333333333333, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6563802375040297
8,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False, max_features=0.2,
         max_samples=0.3333333333333333, n_estimators=10, n_jobs=10,
         oob_score=False, random_state=None, verbose=0, warm_start=False)",Bagging,"{'n_estimators': 10, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.3333333333333333, 'max_features': 0.2, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6468140745101958
9,"BaggingClassifier(base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
         bootstrap=True, bootstrap_features=False, max_features=0.2,
         max_samples=0.3333333333333333, n_estimators=100, n_jobs=10,
         oob_score=False, random_state=None, verbose=0, warm_start=False)",Bagging,"{'n_estimators': 100, 'base_estimator': DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=5,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'), 'max_samples': 0.3333333333333333, 'max_features': 0.2, 'n_jobs': 10}",Holdout 1: 06/30/2012,0.743187574379787,0.24464831804281345,0.2595419847328244,0.2496947496947497,0.24961855355508086,0.2545010680500458,0.2579595158173126,0.2598108025633201,0.009505703422053232,0.020199619771863117,0.04859790874524715,0.0971958174904943,0.19819391634980987,0.30133079847908745,0.5058222433460076,0.6630197108205387
